happy:gioia-accepted:accettato-fullfilled:soddisfatto,1,end
happy:gioia-accepted:accettato-respected:rispettato,1,end
happy:gioia-interested:interessato-amused:divertito,1,end
happy:gioia-interested:interessato-inquisitive:curioso,1,end
happy:gioia-intimate:connesso-playful:giocoso,1,end
happy:gioia-intimate:connesso-sensitive:delicato,1,end
happy:gioia-joyful:gioioso-estatic:estasiato,1,end
happy:gioia-joyful:gioioso-liberated:liberato,1,end
happy:gioia-optimistic:ottimista-inspired:ispirato,1,end
happy:gioia-optimistic:ottimista-open:aperto,1,end
happy:gioia-peaceful:tranquillo-hopeful:speranzoso,1,end
happy:gioia-peaceful:tranquillo-loving:amorevole,1,end
happy:gioia-powerful:potente-courageous:coraggioso,1,end
happy:gioia-powerful:potente-provocative:stimolante,1,end
happy:gioia-proud:orgoglioso-confident:fiducioso,1,end
happy:gioia-proud:orgoglioso-important:importante,1,end
happy:gioia-excited:entusiasta-eager:appassionato,1,end
happy:gioia-excited:entusiasta-energetic:energico,1,end
anger:rabbia-aggressive:aggressivo-hostile:ostile,1,end
anger:rabbia-aggressive:aggressivo-provoked:provocato,1,end
anger:rabbia-critical:critico-sarcastic:sarcastico,1,end
anger:rabbia-critical:critico-skeptical:scettico,1,end
anger:rabbia-distant:distaccato-suspicious:sospettoso,1,end
anger:rabbia-distant:distaccato-withdrawn:isolato,1,end
anger:rabbia-frustrated:frustrato-infuriated:infuriato,1,end
anger:rabbia-frustrated:frustrato-irritated:irritato,1,end
anger:rabbia-hateful:odioso-resentful:rancoroso,1,end
anger:rabbia-hateful:odioso-violated:violato,1,end
anger:rabbia-hurt:ferisce-devastated:devastato,1,end
anger:rabbia-hurt:ferisce-embarassed:ridicolizzato,1,end
anger:rabbia-mad:furibondo-enraged:arrabbiato,1,end
anger:rabbia-mad:furibondo-furious:ostile,1,end
anger:rabbia-disappointed:deluso-repugnant:seccato,1,end
anger:rabbia-disappointed:deluso-revolted:ribellato,1,end
anger:rabbia-disapproval:biasimo-judgmental:giudicante,1,end
anger:rabbia-disapproval:biasimo-loathing:criticante,1,end
fear:paura-threatened:minacciato-insecure:insicuro,1,end
fear:paura-threatened:minacciato-jealous:geloso,1,end
fear:paura-avoidance:evitante-aversion:avversione,1,end
fear:paura-avoidance:evitante-hesitant:esitante,1,end
fear:paura-awful:orribile-detestable:detestabile,1,end
fear:paura-awful:orribile-revulsion:repulsione,1,end
fear:paura-anxious:ansioso-overwhelmed:sopraffatto,1,end
fear:paura-anxious:ansioso-worried:preoccupato,1,end
fear:paura-insecure:insicuro-inadequate:inadeguato,1,end
fear:paura-insecure:insicuro-inferior:inferiore,1,end
fear:paura-scared:spaventato-frightened:spaventato,1,end
fear:paura-scared:spaventato-terrified:terrorizzato,1,end
fear:paura-submissive:sottomesso-insignificant:insignificante,1,end
fear:paura-submissive:sottomesso-worthless:indegno,1,end
fear:paura-confused:confuso-disillusoned:disilluso,1,end
fear:paura-confused:confuso-perplexed:perplesso,1,end
fear:paura-startled:allarmato-dismayed:scoraggiato,1,end
fear:paura-startled:allarmato-shocked:scioccato,1,end
sad:tristezza-guilty:colpevole-remorseful:pentito,1,end
sad:tristezza-guilty:colpevole-ashamed:disonorevole,1,end
sad:tristezza-rejected:respinto-alienated:alienato,1,end
sad:tristezza-rejected:respinto-inadequate:inadeguato,1,end
sad:tristezza-discard:scartato-useless:inutile,1,end
sad:tristezza-discard:scartato-unworthy:indegno,1,end
sad:tristezza-despair:disperato-powerless:impotente,1,end
sad:tristezza-despair:disperato-vulnerable:vulnerabile,1,end
sad:tristezza-abandoned:abbandonato-ignored:ignorato,1,end
sad:tristezza-abandoned:abbandonato-victimized:vittimizzato,1,end
sad:tristezza-lonely:solo-abandoned:abbandonato,1,end
sad:tristezza-lonely:solo-isolated:isolato,1,end
sad:tristezza-depressed:depresso-inferior:inferiore,1,end
sad:tristezza-depressed:depresso-empty:vuoto,1,end
sad:tristezza-humiliated:umiliato-disrespected:violato,1,end
sad:tristezza-humiliated:umiliato-ridiculed:ridicolizzato,1,end
sad:tristezza-bored:annoiato-apathetic:apatico,1,end
sad:tristezza-bored:annoiato-indifferent:indifferente,1,end

